record_date,price
2021-01-01,19.44
2021-02-01,20.92
2021-03-01,20.2
2021-04-01,20.32
2021-05-01,19.4
2021-06-01,19.88
2021-07-01,19.85
2021-08-01,19.78
2021-09-01,17.55
2021-10-01,17.52
2021-11-01,18.27
2021-12-01,18.87
2022-01-01,19.83
2022-02-01,20.83
2022-03-01,19.52
2022-04-01,19.78
2022-05-01,19.75
2022-06-01,19.7
2022-07-01,20.73
2022-08-01,21.19
2022-09-01,19.78
2022-10-01,19.09
2022-11-01,19.24
2022-12-01,20.36
2023-01-01,20.1
2023-02-01,20.52
2023-03-01,21.49
2023-04-01,20.96
2023-05-01,21.19
2023-06-01,20.69
2023-07-01,20.69
2023-08-01,26.22
2023-09-01,24.18
2023-10-01,22.97
2023-11-01,24.99
2023-12-01,28.53
2024-01-01,28.74
2024-02-01,28.36
2024-03-01,28.01
2024-04-01,27.81
2024-05-01,28.24
2024-06-01,28.72
2024-07-01,29.07
2024-08-01,26.74
2024-09-01,24.03
2024-10-01,20.63
2024-11-01,21.81
2024-12-01,21.29
2025-01-01,22.08
2025-02-01,20
2025-03-01,19.88
2025-04-01,17.86
2025-05-01,17.39
2025-06-01,15.45
2025-07-01,15.3
2025-08-01,15.64
2025-09-01,15.08
2025-10-01,17.31
2025-11-01,19.96
2025-12-01,21.41
